#info,log_version="1.00",software_part_number="006-B2304-19",software_version="6.00",serial_number="4JQ014566"
UTC Date (yyyy-mm-dd),UTC Time (hh:mm:ss),GPS Fix Status,GPS Sats,Latitude (WGS84 deg),Longitude (WGS84 deg),GPS Altitude (WGS84 ft),GPS HDOP,GPS VDOP,GPS Velocity E (m/s),GPS Velocity N (m/s),GPS Velocity U (m/s),GPS Ground Speed (kt),GPS Ground Track (deg true),Magnetic Heading (deg),Magnetic Variation (deg),Pressure Altitude (ft),Baro Setting (inch Hg),Baro Altitude (ft),Vertical Speed (fpm),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Turn Rate (deg/sec),Slip/Skid,Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Track (deg),Selected Altitude (ft),Selected Vertical Speed (fpm),Selected Airspeed (kt),Active Nav Source,Nav Course (deg),Nav Frequency (MHz),Horizontal Deviation,Vertical Deviation,VNAV Deviation,VNAV Flight Path Angle (deg),VNAV Target Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),Attitude Status,Internal Temperature (deg C),Battery Status,Battery Charge (%)
UTC Date,UTC Time,GPS Fix Status,GPS Sats,Latitude,Longitude,AltGPS,GPS HDOP,GPS VDOP,GPS Velocity E (m/s),GPS Velocity N (m/s),GPS Velocity U (m/s),GndSpd,TRK,HDG,MagVar,AltMSL,Baro Setting (inch Hg),AltB,VSpd,IAS,TAS,Pitch,Roll,Turn Rate,Slip/Skid,Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Track (deg),Selected Altitude (ft),Selected Vertical Speed (fpm),Selected Airspeed (kt),Active Nav Source,Nav Course (deg),Nav Frequency (MHz),Horizontal Deviation,Vertical Deviation,VNAV Deviation,VNAV Flight Path Angle (deg),VNAV Target Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),Attitude Status,Internal Temperature (deg C),Battery Status,Battery Charge (%)
2019-05-09,15:35:39,,,,,,,,,,,,,,,1464,30.05,1583,+-210,1.7,,+2.80,+0.06,+-0.13,+-0.06,+-0.008,+0.998,142,,,,,,,,,,,,,,,080197FE D99 A99,9,00000004,100
2019-05-09,15:35:39,,,,,,,,,,,,,,,1463,30.05,1582,+-133,1.3,,+3.60,+0.29,+-0.09,+-0.06,+-0.009,+1.000,142,,,,,,,,,,,,,,,080197FE D99 A99,9,00000004,100
2019-05-09,15:35:41,,,,,,,,,,,,,,,1463,30.05,1582,+-65,1.3,,+4.03,+-0.01,+-0.08,+-0.06,+-0.010,+1.000,142,,,,,,,,,,,,,,,080197FE D99 A99,9,00000004,100
2019-05-09,15:35:42,,,,,,,,,,,,,,,1463,30.05,1582,+-28,0.5,,+4.17,+-0.26,+-0.11,+-0.06,+-0.010,+0.998,142,,,,,,,,,,,,,,,080197FE D99 A99,9,00000004,100
2019-05-09,15:35:43,,,,,,,,,,,,,,,1463,30.05,1582,+-7,0.8,,+4.19,+-0.38,+-0.12,+-0.06,+-0.007,+0.997,142,,,,,,,,,,,,,,,080197FE D99 A99,10,00000004,100
2019-05-09,15:35:44,,,,,,,,,,,,,,,1463,30.05,1582,+-4,0.5,,+4.20,+-0.43,+-0.10,+-0.06,+-0.008,+0.997,142,,,,,,,,,,,,,,,080197FE D99 A99,10,00000004,100
2019-05-09,15:35:45,,,,,,,,,,,,,,,1463,30.05,1582,+-2,2.0,,+4.19,+-0.44,+-0.11,+-0.06,+-0.011,+1.000,142,,,,,,,,,,,,,,,080197FE D99 A99,10,00000004,100
2019-05-09,15:35:46,,,,,,,,,,,,,,,1463,30.05,1582,+-4,2.3,,+4.18,+-0.45,+-0.11,+-0.06,+-0.008,+1.000,142,,,,,,,,,,,,,,,080197FE D99 A99,10,00000004,100
2019-05-09,15:35:47,,,,,,,,,,,,,,,1463,30.05,1582,+-3,3.0,,+4.18,+-0.46,+-0.11,+-0.06,+-0.006,+0.999,142,,,,,,,,,,,,,,,080197FE D99 A99,10,00000004,100
